id,role
1,Supervisor
2,Supervisor
3,Construction Worker
4,Electrician
5,Project Manager
6,Estimator
7,Construction Expeditor
8,Architect
9,Subcontractor
10,Subcontractor
11,Estimator
12,Engineer
13,Project Manager
14,Supervisor
15,Construction Worker
16,Construction Manager
17,Subcontractor
18,Construction Foreman
19,Architect
20,Project Manager
21,Surveyor
22,Construction Expeditor
23,Construction Manager
24,Surveyor
25,Project Manager
26,Construction Worker
27,Engineer
28,Supervisor
29,Construction Foreman
30,Estimator
31,Surveyor
32,Surveyor
33,Surveyor
34,Estimator
35,Construction Worker
36,Supervisor
37,Subcontractor
38,Architect
39,Supervisor
40,Construction Worker
41,Construction Foreman
42,Supervisor
43,Construction Expeditor
44,Surveyor
45,Surveyor
46,Construction Worker
47,Construction Foreman
48,Architect
49,Estimator
50,Construction Foreman
51,Construction Manager
52,Construction Foreman
53,Architect
54,Construction Worker
55,Electrician
56,Construction Worker
57,Construction Foreman
58,Project Manager
59,Engineer
60,Subcontractor
61,Architect
62,Project Manager
63,Architect
64,Subcontractor
65,Construction Worker
66,Construction Manager
67,Architect
68,Construction Worker
69,Project Manager
70,Construction Expeditor
71,Construction Expeditor
72,Electrician
73,Project Manager
74,Construction Expeditor
75,Construction Manager
76,Engineer
77,Construction Expeditor
78,Engineer
79,Engineer
80,Supervisor
81,Construction Manager
82,Project Manager
83,Electrician
84,Engineer
85,Architect
86,Surveyor
87,Project Manager
88,Project Manager
89,Subcontractor
90,Surveyor
91,Project Manager
92,Construction Expeditor
93,Construction Manager
94,Subcontractor
95,Construction Expeditor
96,Estimator
97,Construction Expeditor
98,Subcontractor
99,Construction Manager
100,Supervisor
101,Subcontractor
102,Construction Expeditor
103,Construction Manager
104,Engineer
105,Engineer
106,Construction Expeditor
107,Construction Manager
108,Estimator
109,Construction Worker
110,Engineer
111,Construction Manager
112,Engineer
113,Subcontractor
114,Surveyor
115,Construction Expeditor
116,Subcontractor
117,Architect
118,Construction Expeditor
119,Construction Expeditor
120,Engineer
121,Construction Foreman
122,Subcontractor
123,Surveyor
124,Subcontractor
125,Project Manager
126,Architect
127,Architect
128,Project Manager
129,Subcontractor
130,Project Manager
131,Architect
132,Construction Foreman
133,Construction Expeditor
134,Subcontractor
135,Construction Worker
136,Estimator
137,Subcontractor
138,Construction Worker
139,Subcontractor
140,Surveyor
141,Subcontractor
142,Surveyor
143,Engineer
144,Surveyor
145,Construction Foreman
146,Subcontractor
147,Project Manager
148,Architect
149,Supervisor
150,Project Manager
151,Surveyor
152,Architect
153,Electrician
154,Surveyor
155,Construction Foreman
156,Project Manager
157,Subcontractor
158,Construction Expeditor
159,Project Manager
160,Architect
161,Construction Manager
162,Construction Foreman
163,Estimator
164,Supervisor
165,Architect
166,Estimator
167,Subcontractor
168,Supervisor
169,Architect
170,Surveyor
171,Subcontractor
172,Surveyor
173,Electrician
174,Construction Worker
175,Estimator
176,Construction Manager
177,Engineer
178,Project Manager
179,Surveyor
180,Engineer
181,Project Manager
182,Architect
183,Electrician
184,Supervisor
185,Project Manager
186,Project Manager
187,Construction Worker
188,Project Manager
189,Architect
190,Supervisor
191,Architect
192,Engineer
193,Subcontractor
194,Surveyor
195,Supervisor
196,Construction Manager
197,Surveyor
198,Electrician
199,Construction Manager
200,Estimator
201,Construction Worker
202,Engineer
203,Surveyor
204,Electrician
205,Construction Worker
206,Construction Worker
207,Project Manager
208,Project Manager
209,Surveyor
210,Electrician
211,Project Manager
212,Construction Expeditor
213,Construction Foreman
214,Project Manager
215,Construction Foreman
216,Electrician
217,Architect
218,Project Manager
219,Engineer
220,Engineer
221,Electrician
222,Estimator
223,Supervisor
224,Engineer
225,Subcontractor
226,Construction Manager
227,Supervisor
228,Engineer
229,Architect
230,Construction Expeditor
231,Electrician
232,Construction Foreman
233,Construction Worker
234,Construction Expeditor
235,Supervisor
236,Project Manager
237,Estimator
238,Project Manager
239,Construction Worker
240,Construction Foreman
241,Subcontractor
242,Construction Expeditor
243,Architect
244,Supervisor
245,Construction Worker
246,Electrician
247,Project Manager
248,Project Manager
249,Architect
250,Project Manager
251,Construction Foreman
252,Construction Expeditor
253,Architect
254,Construction Expeditor
255,Construction Foreman
256,Project Manager
257,Supervisor
258,Surveyor
259,Architect
260,Supervisor
261,Electrician
262,Engineer
263,Subcontractor
264,Construction Manager
265,Subcontractor
266,Project Manager
267,Engineer
268,Architect
269,Construction Foreman
270,Construction Expeditor
271,Construction Manager
272,Construction Foreman
273,Construction Expeditor
274,Supervisor
275,Electrician
276,Estimator
277,Project Manager
278,Architect
279,Engineer
280,Architect
281,Estimator
282,Construction Manager
283,Construction Worker
284,Surveyor
285,Estimator
286,Project Manager
287,Electrician
288,Construction Worker
289,Subcontractor
290,Construction Worker
291,Supervisor
292,Surveyor
293,Estimator
294,Engineer
295,Construction Worker
296,Construction Expeditor
297,Construction Foreman
298,Estimator
299,Supervisor
300,Subcontractor
301,Construction Worker
302,Supervisor
303,Construction Manager
304,Supervisor
305,Construction Foreman
306,Construction Expeditor
307,Project Manager
308,Surveyor
309,Surveyor
310,Supervisor
311,Construction Worker
312,Construction Foreman
313,Construction Expeditor
314,Project Manager
315,Subcontractor
316,Construction Manager
317,Electrician
318,Architect
319,Architect
320,Surveyor
321,Engineer
322,Architect
323,Supervisor
324,Estimator
325,Construction Manager
326,Project Manager
327,Construction Worker
328,Architect
329,Subcontractor
330,Construction Expeditor
331,Subcontractor
332,Construction Worker
333,Supervisor
334,Surveyor
335,Subcontractor
336,Construction Expeditor
337,Architect
338,Construction Worker
339,Construction Foreman
340,Supervisor
341,Surveyor
342,Construction Worker
343,Supervisor
344,Supervisor
345,Engineer
346,Electrician
347,Subcontractor
348,Supervisor
349,Surveyor
350,Construction Foreman
351,Architect
352,Project Manager
353,Architect
354,Engineer
355,Architect
356,Construction Expeditor
357,Construction Foreman
358,Construction Manager
359,Engineer
360,Subcontractor
361,Construction Expeditor
362,Construction Manager
363,Engineer
364,Supervisor
365,Construction Foreman
366,Subcontractor
367,Construction Expeditor
368,Architect
369,Supervisor
370,Construction Foreman
371,Architect
372,Construction Foreman
373,Estimator
374,Engineer
375,Estimator
376,Subcontractor
377,Architect
378,Estimator
379,Construction Foreman
380,Construction Foreman
381,Construction Worker
382,Engineer
383,Project Manager
384,Project Manager
385,Electrician
386,Construction Worker
387,Construction Expeditor
388,Architect
389,Construction Worker
390,Estimator
391,Supervisor
392,Construction Worker
393,Construction Expeditor
394,Engineer
395,Architect
396,Construction Manager
397,Construction Expeditor
398,Construction Worker
399,Architect
400,Architect
401,Engineer
402,Surveyor
403,Surveyor
404,Project Manager
405,Estimator
406,Construction Expeditor
407,Construction Worker
408,Project Manager
409,Construction Manager
410,Construction Manager
411,Construction Expeditor
412,Electrician
413,Architect
414,Surveyor
415,Estimator
416,Project Manager
417,Subcontractor
418,Architect
419,Construction Worker
420,Electrician
421,Construction Worker
422,Construction Manager
423,Engineer
424,Construction Expeditor
425,Subcontractor
426,Electrician
427,Electrician
428,Construction Foreman
429,Architect
430,Electrician
431,Estimator
432,Construction Worker
433,Electrician
434,Construction Worker
435,Construction Foreman
436,Construction Foreman
437,Construction Worker
438,Subcontractor
439,Architect
440,Surveyor
441,Architect
442,Surveyor
443,Construction Foreman
444,Construction Manager
445,Subcontractor
446,Construction Manager
447,Construction Foreman
448,Construction Foreman
449,Electrician
450,Project Manager
451,Architect
452,Supervisor
453,Surveyor
454,Construction Worker
455,Construction Manager
456,Construction Worker
457,Construction Worker
458,Engineer
459,Architect
460,Construction Manager
461,Engineer
462,Subcontractor
463,Construction Manager
464,Supervisor
465,Construction Foreman
466,Project Manager
467,Surveyor
468,Construction Foreman
469,Estimator
470,Supervisor
471,Construction Foreman
472,Surveyor
473,Construction Expeditor
474,Construction Foreman
475,Subcontractor
476,Construction Expeditor
477,Engineer
478,Construction Expeditor
479,Estimator
480,Surveyor
481,Engineer
482,Engineer
483,Estimator
484,Surveyor
485,Architect
486,Project Manager
487,Architect
488,Construction Foreman
489,Supervisor
490,Estimator
491,Engineer
492,Subcontractor
493,Construction Foreman
494,Architect
495,Architect
496,Construction Worker
497,Engineer
498,Construction Manager
499,Estimator
500,Construction Manager
501,Surveyor
502,Construction Worker
503,Supervisor
504,Estimator
505,Estimator
506,Architect
507,Subcontractor
508,Construction Manager
509,Architect
510,Architect
511,Subcontractor
512,Surveyor
513,Subcontractor
514,Construction Foreman
515,Construction Expeditor
516,Architect
517,Construction Manager
518,Subcontractor
519,Surveyor
520,Supervisor
521,Surveyor
522,Electrician
523,Supervisor
524,Construction Foreman
525,Construction Expeditor
526,Estimator
527,Construction Worker
528,Electrician
529,Construction Foreman
530,Supervisor
531,Surveyor
532,Engineer
533,Engineer
534,Project Manager
535,Estimator
536,Electrician
537,Surveyor
538,Construction Expeditor
539,Supervisor
540,Estimator
541,Supervisor
542,Subcontractor
543,Construction Foreman
544,Surveyor
545,Electrician
546,Supervisor
547,Construction Foreman
548,Electrician
549,Subcontractor
550,Construction Expeditor
551,Project Manager
552,Supervisor
553,Supervisor
554,Project Manager
555,Project Manager
556,Construction Expeditor
557,Surveyor
558,Construction Expeditor
559,Construction Manager
560,Construction Foreman
561,Project Manager
562,Engineer
563,Supervisor
564,Construction Manager
565,Construction Expeditor
566,Engineer
567,Construction Worker
568,Engineer
569,Construction Manager
570,Engineer
571,Architect
572,Construction Worker
573,Construction Manager
574,Construction Manager
575,Project Manager
576,Surveyor
577,Construction Expeditor
578,Construction Expeditor
579,Project Manager
580,Surveyor
581,Engineer
582,Construction Worker
583,Subcontractor
584,Construction Manager
585,Surveyor
586,Construction Manager
587,Electrician
588,Surveyor
589,Architect
590,Supervisor
591,Subcontractor
592,Estimator
593,Project Manager
594,Subcontractor
595,Construction Expeditor
596,Architect
597,Construction Expeditor
598,Construction Foreman
599,Project Manager
600,Construction Foreman
601,Project Manager
602,Estimator
603,Construction Manager
604,Construction Foreman
605,Architect
606,Supervisor
607,Construction Foreman
608,Surveyor
609,Estimator
610,Supervisor
611,Project Manager
612,Surveyor
613,Architect
614,Subcontractor
615,Surveyor
616,Project Manager
617,Supervisor
618,Supervisor
619,Architect
620,Architect
621,Construction Manager
622,Subcontractor
623,Estimator
624,Architect
625,Surveyor
626,Construction Foreman
627,Construction Worker
628,Construction Worker
629,Construction Foreman
630,Construction Manager
631,Engineer
632,Construction Expeditor
633,Supervisor
634,Electrician
635,Construction Expeditor
636,Engineer
637,Engineer
638,Surveyor
639,Supervisor
640,Construction Expeditor
641,Construction Expeditor
642,Architect
643,Construction Manager
644,Subcontractor
645,Supervisor
